x,y,z,entity_type
2.5,-0.3920517811456111,0.0,POLYLINE
2.5,-0.37143962124624946,0.0,POLYLINE
2.5,-0.34945048406701296,0.0,POLYLINE
2.5,-0.3261863679249293,0.0,POLYLINE
2.5,-0.30174927113702626,0.0,POLYLINE
2.5,-0.27624119202033165,0.0,POLYLINE
2.5,-0.24976412889187327,0.0,POLYLINE
2.5,-0.22242008006867886,0.0,POLYLINE
2.5,-0.19431104386777617,0.0,POLYLINE
2.5,-0.16553901860619297,0.0,POLYLINE
2.5,-0.1362060026009571,0.0,POLYLINE
2.5,-0.10641399416909628,0.0,POLYLINE
2.5,-0.07626499162763811,0.0,POLYLINE
2.5,-0.0458609932936106,0.0,POLYLINE
2.5,-0.015303997484041543,0.0,POLYLINE
2.5,0.015303997484041432,0.0,POLYLINE
2.5,0.0458609932936106,0.0,POLYLINE
2.5,0.07626499162763817,0.0,POLYLINE
2.5,0.10641399416909614,0.0,POLYLINE
2.5,0.13620600260095705,0.0,POLYLINE
2.5,0.16553901860619302,0.0,POLYLINE
2.5,0.1943110438677762,0.0,POLYLINE
2.5,0.22242008006867886,0.0,POLYLINE
2.5,0.24976412889187305,0.0,POLYLINE
2.5,0.2762411920203317,0.0,POLYLINE
2.5,0.301749271137026,0.0,POLYLINE
2.5,0.3261863679249293,0.0,POLYLINE
2.5,0.34945048406701285,0.0,POLYLINE
2.5,0.3714396212462494,0.0,POLYLINE
2.5,0.39205178114561123,0.0,POLYLINE
2.5,0.41118496544806993,0.0,POLYLINE
2.5,0.42873717583659854,0.0,POLYLINE
2.5,0.4446064139941688,0.0,POLYLINE
2.5,0.4586906816037535,0.0,POLYLINE
2.5,0.47088798034832413,0.0,POLYLINE
2.5,0.4810963119108531,0.0,POLYLINE
2.5,0.4892136779743135,0.0,POLYLINE
2.5,0.49513808022167627,0.0,POLYLINE
2.5,0.4987675203359143,0.0,POLYLINE
2.5,0.5,0.0,POLYLINE
2.5,0.5,0.0,POLYLINE
2.4987675203359143,0.5,0.0,POLYLINE
2.4951380802216763,0.5,0.0,POLYLINE
2.4892136779743135,0.5,0.0,POLYLINE
2.4810963119108536,0.5,0.0,POLYLINE
2.470887980348324,0.5,0.0,POLYLINE
2.4586906816037533,0.5,0.0,POLYLINE
2.4446064139941694,0.5,0.0,POLYLINE
